time,rssi
1627789305.199,-63
1627789305.199,-73
1627789305.199,-76
1627789305.199,-79
1627789411.686,-40
1627789411.686,-51
1627789411.686,-60
1627789411.686,-61
1627789411.686,-62
1627789411.686,-63
1627789411.686,-67
1627789411.686,-71
1627789411.686,-71
1627789411.686,-78
1627789477.091,-41
1627789477.091,-48
1627789477.091,-53
1627789477.091,-53
1627789477.091,-55
1627789477.091,-61
1627789477.091,-65
1627789477.091,-67
1627789477.091,-73
1627789477.091,-74
1627789477.091,-75
1627789477.091,-78
1627789477.091,-78
1627789556.531,-39
1627789556.531,-41
1627789556.531,-48
1627789556.531,-52
1627789556.531,-53
1627789556.531,-56
1627789556.531,-63
1627789556.531,-64
1627789556.531,-65
1627789556.531,-67
1627789556.531,-72
1627789556.531,-73
1627789556.531,-78
1627789600.562,-37
1627789600.562,-46
1627789600.562,-56
1627789600.562,-56
1627789600.562,-57
1627789600.562,-57
1627789600.562,-58
1627789600.562,-61
1627789600.562,-65
1627789600.562,-68
1627789600.562,-73
1627789600.562,-74
1627789620.433,-37
1627789620.433,-57
1627789620.433,-61
1627789620.433,-62
1627789620.433,-66
1627789620.433,-71
1627789620.433,-75
1627789620.433,-76
1627789659.998,-40
1627789659.998,-44
1627789659.998,-54
1627789659.998,-59
1627789659.998,-61
1627789659.998,-65
1627789659.998,-66
1627789659.998,-71
1627789659.998,-72
1627789659.998,-73
1627789659.998,-73
1627789659.998,-78
1627789659.998,-78
1627789659.998,-82
1627789796.446,-41
1627789796.446,-52
1627789796.446,-56
1627789796.446,-57
1627789796.446,-57
1627789796.446,-57
1627789796.446,-63
1627789796.446,-70
1627789796.446,-72
1627789796.446,-73
1627789796.446,-74
1627789874.988,-41
1627789874.988,-48
1627789874.988,-58
1627789874.988,-60
1627789874.988,-60
1627789874.988,-65
1627789874.988,-70
1627789874.988,-72
1627789874.988,-75
1627790077.021,-43
1627790077.021,-47
1627790077.021,-56
1627790077.021,-61
1627790077.021,-65
1627790077.021,-71
1627790077.021,-76
1627790077.021,-77
1627790236.353,-43
1627790236.353,-59
1627790236.353,-64
1627790236.353,-65
1627790236.353,-68
1627790236.353,-77
1627790236.353,-83
1627790396.557,-42
1627790396.557,-58
1627790396.557,-61
1627790396.557,-66
1627790396.557,-68
1627790396.557,-70
1627790396.557,-72
1627790396.557,-76
1627790396.557,-85
1627790396.557,-87
1627790538.753,-41
1627790538.753,-58
1627790538.753,-61
1627790538.753,-65
1627790538.753,-68
1627790538.753,-69
1627790538.753,-76
1627790538.753,-78
1627790538.753,-79
1627790538.753,-82
1627790538.753,-82
1627790538.753,-85
1627790676.979,-40
1627790676.979,-51
1627790676.979,-57
1627790676.979,-57
1627790676.979,-57
1627790676.979,-64
1627790676.979,-70
1627790676.979,-78
1627790836.602,-44
1627790836.602,-45
1627790836.602,-50
1627790836.602,-60
1627790836.602,-63
1627790836.602,-70
1627790836.602,-74
1627790836.602,-75
